date,a,b,c,d,e,f,g,h,j,k,l,m,open
2011/10/10,28925,309.6,423,6.347,104.67,21365,30083.33,636160,27100,436.1,264.18,27100,29250
2011/10/11,29625,310.7,423.9,6.375,105.61,21360,30150,904960,27100,436.45,267.73,27100,29550
2011/10/12,29665,309.6,425,6.3585,107.68,21300,30050,1220634,27100,434.6,264.27,27100,29790
2011/10/13,29525,312.7,423.8,6.382,107.05,20240,30066.67,929944,27100,436.55,266.66,27100,29500
2011/10/14,29430,308.3,423.5,6.3785,109.01,20060,30183.33,983666,27100,436.15,263.28,27100,29600
2011/10/17,29850,313,423.9,6.3706,110.13,19940,30366.67,909320,26800,439.75,266.24,26800,29700
2011/10/18,28770,304.8,411,6.3813,107.94,19850,30000,877286,26800,436.55,265.84,26800,28300
2011/10/19,27795,294.8,404,6.3775,108.65,19850,29633.33,1621452,26800,433.1,263.06,26800,27730
2011/10/20,26785,277,382,6.3855,107.19,18590,28766.67,166008,26800,422.45,257.87,26800,26265
2011/10/21,26205,275.8,382,6.384,108.31,18210,28316.67,1750974,25300,419.45,254.83,26300,26000
2011/10/24,26840,286,389.5,6.3754,109.11,18550,28100,1694632,25300,424.05,254.84,26300,27200
2011/10/25,27540,290,385,6.3604,109.47,18520,28233.33,1698774,25300,425.9,256.88,26300,27350
2011/10/26,27200,288.8,201.3327889,6.3533,108.83,18520,28183.33,1831604,25300,424.9,256.14,25300,27570
2011/10/27,27800,296.6,393.6,6.3595,109.09,18520,28450,1564536,25300,426.9,256.14,25300,27840
2011/10/28,28270,307.5,393,6.3586,109.15,18360,28833.33,1072618,25300,436.3,259.07,25300,27920
2011/10/31,27795,301.2,383.9,6.3549,107.12,18360,28616.67,1386640,25300,433.8,258.39,25300,28275
2011/11/1,27795,291.4,368,6.3543,106.35,18360,28433.33,1667170,25300,430.95,251.39,25300,27400
2011/11/2,27210,285.4,368.5,6.3573,108.65,18290,28350,1580384,25300,425.35,245.31,25300,27865
2011/11/3,27235,286.2,363.9,6.3514,107.95,17810,28200,1516424,25300,420.25,243.89,25300,27090
2011/11/4,27770,287.5,366,6.3392,109.96,17710,28400,2007918,25300,419.7,243.28,25300,27650
2011/11/7,27270,279.3,201.3327889,6.351,111.08,17280,28116.67,1649428,25300,412.55,241.18,25300,27490
2011/11/8,27215,273,351,6.3454,113.79,17280,28050,1840882,25300,405,241.18,25300,27100
2011/11/9,27165,264,330,6.3415,113.13,17280,27900,2136250,25300,393.65,236.34,25300,27000
2011/11/10,25995,244,315.3,6.3459,111.67,18030,26883.33,80480,25300,373.65,223.01,25300,25710
2011/11/11,26090,248.5,323.5,6.3424,113.01,18175,26600,1597340,25300,369.95,208.57,25300,25800
2011/11/14,26840,262,334,6.3538,112.69,18175,26933.33,1111814,23200,385.35,206.42,23200,26650
2011/11/15,26540,257,334,6.3465,112.19,19175,27000,1500370,23200,375.75,208.59,23200,26500
2011/11/16,25675,253,339.9,6.3446,112.26,19175,27183.33,1460064,23200,369.35,209.12,23200,25405
2011/11/17,25825,254.8,346.3,6.3508,110.82,19115,26950,1621448,23200,374.6,215.4,23200,26100
2011/11/18,25650,250.9,342.9,6.3554,109.12,18785,27016.67,1617366,23200,371.95,219.48,23200,25915
2011/11/21,25645,247,326.9,6.36,107.74,18815,26850,1087622,23200,370.3,218.3,23200,25590
2011/11/22,25605,248,327,6.3608,108.34,18640,26500,1130618,23200,362.4,212.67,23200,25740
2011/11/23,25885,248.75,325,6.359,108.32,18140,26483.33,1214100,23200,366.6,210.82,23200,25785
2011/11/24,25830,249.5,325,6.368,108.1,18130,26366.67,1555918,23200,365.55,211.15,23200,26010
2011/11/25,26015,248,319.7,6.375,107.73,18130,26466.67,1075594,23200,366.15,212.08,23200,25805
2011/11/28,26115,253.6,326,6.3841,108.75,18130,26500,1084344,23200,371.3,214.31,23200,26160
2011/11/29,26245,253.5,324.5,6.3778,109.74,18055,26500,1022016,23200,373.8,214.31,23200,26305
2011/11/30,26210,251,323.5,6.3789,110.38,18455,26483.33,1002908,23300,373.8,216.55,23300,26150
2011/12/1,27170,262.3,340,6.3635,109.36,18355,27000,888434,23300,383.35,218.81,23300,27000
2011/12/2,26975,259.2,341,6.3597,109.61,18355,26842.86,731726,23300,387.5,221.43,23300,27000
2011/12/5,27045,261.9,340,6.3641,110.3,18455,26971.43,705590,23600,392.1,219.44,23600,27080
2011/12/6,27050,262,346.9,6.3642,109.49,18455,26900,643166,23600,392.1,218.13,23600,27100
2011/12/7,27300,268.4,355,6.3643,110.05,17745,27114.29,909224,23600,396.5,219.78,23600,27440
2011/12/8,27380,272.1,356,6.3619,108.98,15855,27271.43,811046,23600,394,222.46,23600,27440
