date,price,t1,t2,t3,re
2000/1/7,-0.819571448,-0.819844411,-0.822301078,-0.824757745,0.238189048
2000/1/11,-0.818752559,-0.819571448,-0.819844411,-0.822301078,0.245676704
2000/1/12,-0.819571448,-0.818752559,-0.819571448,-0.819844411,0.244460965
2000/1/13,-0.819571448,-0.819571448,-0.818752559,-0.819571448,0.252274731
2000/1/14,-0.809198854,-0.819571448,-0.819571448,-0.818752559,0.300425706
2000/1/17,-0.815749966,-0.809198854,-0.819571448,-0.819571448,0.217675635
2000/1/18,-0.796096629,-0.815749966,-0.809198854,-0.819571448,0.334019653
2000/1/19,-0.789272554,-0.796096629,-0.815749966,-0.809198854,0.271627065
2000/1/20,-0.789545517,-0.789272554,-0.796096629,-0.815749966,0.236846322
2000/1/21,-0.791456258,-0.789545517,-0.789272554,-0.796096629,0.231406104
2000/1/24,-0.794458851,-0.791456258,-0.789545517,-0.789272554,0.231598685
2000/1/25,-0.798826259,-0.794458851,-0.791456258,-0.789545517,0.230373152
2000/1/26,-0.804012556,-0.798826259,-0.794458851,-0.791456258,0.22888613
2000/1/27,-0.801009963,-0.804012556,-0.798826259,-0.794458851,0.265887207
2000/1/28,-0.801009963,-0.801009963,-0.804012556,-0.798826259,0.248363343
2000/1/31,-0.799372185,-0.801009963,-0.801009963,-0.804012556,0.251373065
2000/2/1,-0.798826259,-0.799372185,-0.801009963,-0.801009963,0.243791806
2000/2/2,-0.797734407,-0.798826259,-0.799372185,-0.801009963,0.246795969
2000/2/14,-0.792275147,-0.797734407,-0.798826259,-0.799372185,0.269871371
2000/2/15,-0.793366999,-0.792275147,-0.797734407,-0.798826259,0.242208944
2000/2/16,-0.795823666,-0.793366999,-0.792275147,-0.797734407,0.236808866
2000/2/17,-0.79527774,-0.795823666,-0.793366999,-0.792275147,0.250664335
2000/2/18,-0.796369592,-0.79527774,-0.795823666,-0.793366999,0.242183489
2000/2/21,-0.797188481,-0.796369592,-0.79527774,-0.795823666,0.242102595
2000/2/22,-0.798826259,-0.797188481,-0.796369592,-0.79527774,0.237535808
2000/2/23,-0.797734407,-0.798826259,-0.797188481,-0.796369592,0.250384175
2000/2/24,-0.796642555,-0.797734407,-0.798826259,-0.797188481,0.251184478
2000/2/25,-0.795004777,-0.796642555,-0.797734407,-0.798826259,0.254203664
2000/2/28,-0.797734407,-0.795004777,-0.796642555,-0.797734407,0.233819914
2000/3/1,-0.808652928,-0.797734407,-0.795004777,-0.796642555,0.195407627
2000/3/2,-0.807288112,-0.808652928,-0.797734407,-0.795004777,0.253194507
2000/3/3,-0.810836632,-0.807288112,-0.808652928,-0.797734407,0.232036146
2000/3/6,-0.811382558,-0.810836632,-0.807288112,-0.808652928,0.246030994
2000/3/7,-0.810836632,-0.811382558,-0.810836632,-0.807288112,0.250317608
2000/3/8,-0.810836632,-0.810836632,-0.811382558,-0.810836632,0.246269694
2000/3/9,-0.812201447,-0.810836632,-0.810836632,-0.811382558,0.238550204
2000/3/10,-0.821209226,-0.812201447,-0.810836632,-0.810836632,0.202689878
2000/3/13,-0.81520404,-0.821209226,-0.812201447,-0.810836632,0.273786862
2000/3/14,-0.819571448,-0.81520404,-0.821209226,-0.812201447,0.227800261
2000/3/15,-0.82339293,-0.819571448,-0.81520404,-0.821209226,0.230447234
2000/3/16,-0.80619626,-0.82339293,-0.819571448,-0.81520404,0.327909366
2000/3/17,-0.806742186,-0.80619626,-0.82339293,-0.819571448,0.243862734
2000/3/20,-0.807561075,-0.806742186,-0.80619626,-0.82339293,0.238729514
2000/3/21,-0.807015149,-0.807561075,-0.806742186,-0.80619626,0.244078573
2000/3/22,-0.816841818,-0.807015149,-0.807561075,-0.806742186,0.197762556
2000/3/23,-0.824211819,-0.816841818,-0.807015149,-0.807561075,0.212736659
2000/3/24,-0.82612256,-0.824211819,-0.816841818,-0.807015149,0.242374094
2000/3/27,-0.82612256,-0.82612256,-0.824211819,-0.816841818,0.253040078
2000/3/28,-0.831035895,-0.82612256,-0.82612256,-0.824211819,0.228049763
2000/3/29,-0.834311451,-0.831035895,-0.82612256,-0.82612256,0.231476421
2000/3/30,-0.834584414,-0.834311451,-0.831035895,-0.82612256,0.24256663
2000/3/31,-0.837587007,-0.834584414,-0.834311451,-0.831035895,0.229330793
2000/4/3,-0.840862563,-0.837587007,-0.834584414,-0.834311451,0.229446694
2000/4/4,-0.835949229,-0.840862563,-0.837587007,-0.834584414,0.270107217
2000/4/5,-0.839224785,-0.835949229,-0.840862563,-0.837587007,0.233770687
2000/4/6,-0.835949229,-0.839224785,-0.835949229,-0.840862563,0.263510719
2000/4/7,-0.835949229,-0.835949229,-0.839224785,-0.835949229,0.246799792
2000/4/10,-0.837587007,-0.835949229,-0.835949229,-0.839224785,0.237139349
2000/4/11,-0.838132933,-0.837587007,-0.835949229,-0.835949229,0.241422576
2000/4/12,-0.837041081,-0.838132933,-0.837587007,-0.835949229,0.249903915
2000/4/13,-0.838678859,-0.837041081,-0.838132933,-0.837587007,0.238715237
2000/4/14,-0.841408489,-0.838678859,-0.837041081,-0.838132933,0.23471691
2000/4/17,-0.846321823,-0.841408489,-0.838678859,-0.837041081,0.225134202
2000/4/18,-0.837587007,-0.846321823,-0.841408489,-0.838678859,0.288673194
2000/4/19,-0.838405896,-0.837587007,-0.846321823,-0.841408489,0.243514782
2000/4/20,-0.841408489,-0.838405896,-0.837587007,-0.846321823,0.230885211
2000/4/21,-0.841408489,-0.841408489,-0.838405896,-0.837587007,0.2438335
2000/4/24,-0.841408489,-0.841408489,-0.841408489,-0.838405896,0.244762768
2000/4/25,-0.838405896,-0.841408489,-0.841408489,-0.841408489,0.260285709
2000/4/26,-0.833219599,-0.838405896,-0.841408489,-0.841408489,0.271479493
2000/4/27,-0.838678859,-0.833219599,-0.838405896,-0.841408489,0.221470623
2000/4/28,-0.842500341,-0.838678859,-0.833219599,-0.838405896,0.22781301
2000/5/8,-0.836495155,-0.842500341,-0.838678859,-0.833219599,0.273769499
2000/5/9,-0.841681452,-0.836495155,-0.842500341,-0.838678859,0.222391306
2000/5/10,-0.845775897,-0.841681452,-0.836495155,-0.842500341,0.227223282
2000/5/11,-0.842500341,-0.845775897,-0.841681452,-0.836495155,0.262195989
2000/5/12,-0.835949229,-0.842500341,-0.845775897,-0.841681452,0.277974026
2000/5/15,-0.841408489,-0.835949229,-0.842500341,-0.845775897,0.221020359
2000/5/16,-0.84959738,-0.841408489,-0.835949229,-0.842500341,0.206626731
2000/5/17,-0.850689232,-0.84959738,-0.841408489,-0.835949229,0.24026972
2000/5/18,-0.853418862,-0.850689232,-0.84959738,-0.841408489,0.23489963
2000/5/19,-0.852599973,-0.853418862,-0.850689232,-0.84959738,0.252739537
2000/5/22,-0.85232701,-0.852599973,-0.853418862,-0.850689232,0.250093301
2000/5/23,-0.84959738,-0.85232701,-0.852599973,-0.853418862,0.259787877
2000/5/24,-0.848778491,-0.84959738,-0.85232701,-0.852599973,0.248778477
2000/5/25,-0.851235158,-0.848778491,-0.84959738,-0.85232701,0.232048427
2000/5/26,-0.852054047,-0.851235158,-0.848778491,-0.84959738,0.239970807
2000/5/29,-0.854510714,-0.852054047,-0.851235158,-0.848778491,0.234369
2000/5/30,-0.858332196,-0.854510714,-0.852054047,-0.851235158,0.230146899
2000/5/31,-0.8605159,-0.858332196,-0.854510714,-0.852054047,0.239076333
2000/6/1,-0.853691825,-0.8605159,-0.858332196,-0.854510714,0.280963293
2000/6/2,-0.85232701,-0.853691825,-0.8605159,-0.858332196,0.253813297
2000/6/5,-0.851235158,-0.85232701,-0.853691825,-0.8605159,0.249297891
2000/6/6,-0.851235158,-0.851235158,-0.85232701,-0.853691825,0.242404065
2000/6/7,-0.851235158,-0.851235158,-0.851235158,-0.85232701,0.24288954
2000/6/8,-0.856148492,-0.851235158,-0.851235158,-0.851235158,0.222314472
2000/6/9,-0.853418862,-0.856148492,-0.851235158,-0.851235158,0.260543285
2000/6/12,-0.85505664,-0.853418862,-0.856148492,-0.851235158,0.242074922
2000/6/13,-0.85505664,-0.85505664,-0.853418862,-0.856148492,0.24889764
2000/6/14,-0.862153678,-0.85505664,-0.85505664,-0.853418862,0.213948618
2000/6/15,-0.857240344,-0.862153678,-0.85505664,-0.85505664,0.268104455
2000/6/16,-0.8605159,-0.857240344,-0.862153678,-0.85505664,0.229939697
2000/6/19,-0.8605159,-0.8605159,-0.857240344,-0.862153678,0.245122555
2000/6/20,-0.861607752,-0.8605159,-0.8605159,-0.857240344,0.24107944
2000/6/21,-0.861607752,-0.861607752,-0.8605159,-0.8605159,0.247073308
2000/6/22,-0.86324553,-0.861607752,-0.861607752,-0.8605159,0.239863686
2000/6/23,-0.861061826,-0.86324553,-0.861607752,-0.861607752,0.257306814
2000/6/26,-0.859424048,-0.861061826,-0.86324553,-0.861607752,0.254068734
2000/6/27,-0.8605159,-0.859424048,-0.861061826,-0.86324553,0.24024455
2000/6/28,-0.861061826,-0.8605159,-0.859424048,-0.861061826,0.242154449
2000/6/29,-0.861607752,-0.861061826,-0.8605159,-0.859424048,0.242664551
2000/6/30,-0.863791456,-0.861607752,-0.861061826,-0.8605159,0.236130615
2000/7/3,-0.862972567,-0.863791456,-0.861607752,-0.861061826,0.25110896
